TAXONNAME,Size,Diet,Mobility,Activity,Schooling,Position
Cephalopholis_leopardus,3,Crustacivores,Sedentary,Both diurnal and nocturnal,Solitary,Benthic
Cephalopholis_miniata,4,Piscivores,Sedentary,Both diurnal and nocturnal,Solitary,Benthic
Cephalopholis_sexmaculata,5,Piscivores,Sedentary,Both diurnal and nocturnal,Solitary,Benthic
Cephalopholis_spiloparaea,4,Piscivores,Sedentary,Both diurnal and nocturnal,Solitary,Benthic
Cephalopholis_urodeta,3,Crustacivores,Sedentary,Both diurnal and nocturnal,Solitary,Benthic
Chaetodon_auriga,3,Corallivores,Sedentary,Diurnal,Pairing,Benthic
Chaetodon_ephippium,4,Corallivores,Sedentary,Diurnal,Pairing,Benthic
Chaetodon_kleinii,3,Planktivores,Sedentary,Diurnal,Pairing,Bentho-Pelagic
Chaetodon_lunula,3,Microinvertivores,Sedentary,Both diurnal and nocturnal,Pairing,Bentho-Pelagic
Chaetodon_meyeri,3,Corallivores,Sedentary,Diurnal,Pairing,Benthic
Chaetodon_ornatissimus,3,Corallivores,Sedentary,Diurnal,Pairing,Benthic
Chaetodon_quadrimaculatus,3,Corallivores,Sedentary,Diurnal,Pairing,Benthic
Chaetodon_reticulatus,3,Corallivores,Sedentary,Diurnal,Pairing,Bentho-Pelagic
Chaetodon_unimaculatus,3,Corallivores,Sedentary,Diurnal,Pairing,Benthic
Cheilinus_trilobatus,4,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Cheilinus_undulatus,6,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Chlorurus_frontalis,5,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Chlorurus_microrhinos,5,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Chlorurus_spilurus,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Chromis_acares,1,Planktivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Chromis_agilis,2,Planktivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Chromis_margaritifer,2,Planktivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Chromis_vanderbilti,1,Planktivores,Sedentary,Diurnal,LargeG,Bentho-Pelagic
Chromis_xanthura,3,Planktivores,Sedentary,Diurnal,LargeG,Bentho-Pelagic
Chrysiptera_cyanea,2,Planktivores,Sedentary,Diurnal,SmallG,Benthic
Cirrhilabrus_exquisitus,2,Planktivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Cirrhilabrus_sp,2,Microinvertivores,Sedentary,Diurnal,MedG,Bentho-Pelagic
Cirrhitichthys_falco,2,Microinvertivores,Sedentary,Diurnal,Solitary,Benthic
Cirrhitichthys_oxycephalus,2,Crustacivores,Sedentary,Diurnal,Solitary,Benthic
Cirrhitops_hubbardi,2,Crustacivores,Sedentary,Diurnal,Solitary,Benthic
Cirrhitus_pinnulatus,4,Crustacivores,Sedentary,Diurnal,Solitary,Benthic
Cirripectes_polyzona,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,Solitary,Benthic
Cirripectes_sp,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,Solitary,Benthic
Cirripectes_variolosus,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,Solitary,Benthic
Coris_aygula,5,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
